"playlistName","numFollowers","numSongs","avgPopularity","avgSongLen","maxSongLen","minSongLen"
37i9dQZF1DWXmlLSKkfdAk,3056748,112,54.57142857142857,217436.57142857142,314344.0,120828.0
37i9dQZF1DXci7j0DJQgGp,1292708,108,49.01851851851852,232534.99074074073,401013.0,155720.0
37i9dQZF1DX4VvfRBFClxm,1017760,103,50.61165048543689,218710.63106796116,337840.0,132453.0
37i9dQZF1DX3EQWTTNVPtu,1237246,60,48.75,209639.03333333333,281302.0,147761.0
37i9dQZF1DX3Ogo9pFvBkY,845841,90,56.144444444444446,188671.02222222224,594700.0,84480.0
37i9dQZF1DXaLI8a395lse,340920,100,40.21,248482.58,456480.0,93307.0
37i9dQZF1DWY8U6Zq7nvbE,788017,70,52.42857142857143,201738.84285714285,253360.0,121895.0
37i9dQZF1DX2uk5oHRWimT,283062,115,35.573913043478264,216152.65217391305,966880.0,85853.0
37i9dQZF1DX6z20IXmBjWI,2050245,168,48.95238095238095,228444.32738095237,401413.0,129464.0
37i9dQZF1DWWGRfB2jBjnV,139456,65,53.53846153846154,202883.63076923077,279000.0,126680.0
37i9dQZF1DX4TnpT6vw5rE,633279,112,29.321428571428573,274578.40178571426,714093.0,85467.0
37i9dQZF1DWWl7MndYYxge,229262,60,55.56666666666667,245322.96666666667,403453.0,142680.0
37i9dQZF1DX5Ejj0EkURtP,911400,100,52.55,219570.29,278719.0,138843.0
37i9dQZF1DX4o1oenSJRJd,5090040,100,58.03,235281.25,334667.0,168667.0
37i9dQZF1DX1rVvRgjX59F,2314596,50,56.0,252720.18,537507.0,121160.0
37i9dQZF1DXbTxeAdrVG2l,3703005,100,56.22,249275.01,388733.0,121160.0
37i9dQZF1DX0Yxoavh5qJV,1054004,89,62.52808988764045,190793.67415730338,272333.0,85227.0
37i9dQZF1DX3oM43CtKnRV,2082879,60,64.16666666666667,230436.43333333332,311107.0,168253.0
37i9dQZF1DWWMOmoXKqHTD,6042691,100,66.67,231510.6,484147.0,160097.0
37i9dQZF1DWTo2LqahHGYj,344506,70,56.84285714285714,230338.35714285713,390560.0,100284.0
37i9dQZF1DXb3ZjVksUlfu,72507,80,37.5375,213293.425,412033.0,104507.0
37i9dQZF1DWXXs9GFYnvLB,948902,50,79.22,200532.24,260773.0,156547.0
37i9dQZF1DXb9LIXaj5WhL,1160238,72,55.84722222222222,260638.15277777778,413827.0,153467.0
37i9dQZF1DWT8aqnwgRt92,95986,51,37.96078431372549,239504.76470588235,379228.0,89692.0
37i9dQZF1DX4WYpdgoIcn6,3889029,100,66.81,196611.59,240093.0,138298.0
37i9dQZF1DX9Dh2wgiAwVX,666437,50,70.28,205267.78,280070.0,137760.0
37i9dQZF1DX01NP73ErE8b,189131,40,66.15,207996.95,311467.0,126707.0
